,cpi_headline,cpi_headline,cpi_headline,cpi_headline,cpi_headline,cpi_core,cpi_core,cpi_core,cpi_core,cpi_core,cpi_gasoline,cpi_gasoline,cpi_gasoline,cpi_gasoline,cpi_gasoline
,pearson_r,r_squared,beta,p_value,n_obs,pearson_r,r_squared,beta,p_value,n_obs,pearson_r,r_squared,beta,p_value,n_obs
lag_months,,,,,,,,,,,,,,,
0,0.5843,0.3414,0.0264,0.0,305,0.1623,0.0263,0.0048,0.0045,305,0.866,0.7499,0.4781,0.0,306
1,0.6359,0.4044,0.0287,0.0,304,0.2115,0.0447,0.0062,0.0002,304,0.8763,0.7678,0.4838,0.0,305
2,0.6296,0.3964,0.0285,0.0,303,0.2415,0.0583,0.0071,0.0,303,0.7781,0.6054,0.431,0.0,304
3,0.5963,0.3556,0.0271,0.0,302,0.2471,0.061,0.0073,0.0,302,0.6563,0.4308,0.3643,0.0,303
4,0.5564,0.3095,0.0253,0.0,301,0.2477,0.0614,0.0073,0.0,301,0.5442,0.2962,0.3023,0.0,302
5,0.5265,0.2772,0.0239,0.0,300,0.2538,0.0644,0.0075,0.0,300,0.4584,0.2101,0.2547,0.0,301
6,0.5053,0.2553,0.023,0.0,299,0.2694,0.0726,0.008,0.0,299,0.3932,0.1546,0.2186,0.0,300
7,0.4788,0.2292,0.0218,0.0,298,0.2835,0.0804,0.0084,0.0,298,0.3324,0.1105,0.1848,0.0,299
8,0.4377,0.1916,0.0199,0.0,297,0.2981,0.0889,0.0088,0.0,297,0.2481,0.0616,0.138,0.0,298
9,0.3936,0.1549,0.0179,0.0,296,0.3108,0.0966,0.0092,0.0,296,0.1631,0.0266,0.0908,0.0048,297
10,0.3508,0.123,0.016,0.0,295,0.3182,0.1013,0.0094,0.0,295,0.0927,0.0086,0.0516,0.1114,296
11,0.3069,0.0942,0.014,0.0,294,0.3102,0.0962,0.0092,0.0,294,0.0374,0.0014,0.0208,0.5218,295
12,0.245,0.06,0.0112,0.0,293,0.2897,0.0839,0.0086,0.0,293,-0.0368,0.0014,-0.0204,0.5292,294
